feature,grupo,pdf_referencia,tipo,descricao,calculo,unidade,n_obs,n_validos,n_missing,pct_missing,taxa_recuperacao_global,min,max,media,mediana,desvio_padrao,p25,p75,iqr,assimetria,curtose,n_outliers,teste_univariado,estatistica_univariada,p_valor,p_bonferroni,p_bh,neg_log10_p,significativa_univariada,tamanho_efeito,tipo_efeito,media_rec0,media_rec1,mediana_rec0,mediana_rec1,diff_medias,diff_padronizada,direcao_efeito,VIF,multicolinear,corr_max_abs,feature_mais_correlacionada,candidata_substituicao,coef_logit,odds_ratio,or_ic_inf,or_ic_sup,p_wald,LR_stat,df_lrt,p_lrt,delta_AIC,reduz_AIC,significativa_modelo,p_permutacao,n_permutacoes,decisao,motivo_decisao,test_level,data_analise,n_categorias,categorias,categoria_modal,freq_modal,categoria_menos_frequente,freq_minima
voronoi_area_carrier,Voronoi,A.1,continua,Area da celula de Voronoi do portador,diagrama de Voronoi clipado ao campo,m2,15958,13802,2156,13.51,0.2802,1.9269042812195967,6161.281540413563,254.06131857726655,82.92092901377373,502.2589475590455,43.93884929771718,213.54145415066938,169.6026048529522,4.61612239198558,28.24382999554081,1797.0,Mann-Whitney U,21252720.0,9.34192970680707e-22,1.9618052384294846e-20,3.9236104768589694e-21,21.029563404877464,True,-0.12970754749042543,Cohen d,272.3260680657234,207.28734968603254,87.05150243310808,72.00252543047958,-65.03871837969086,-0.12970754749042543,recupera mais com valor baixo,1.093818622663564,False,0.21507872451596327,n_teammates_10m,False,-0.0001359479340425011,0.9998640613064591,0.9997727581013286,0.9999553728497598,0.003525081779140613,8.917703290822828,1,0.0028241945420655287,6.917703290822828,True,True,,,INCLUIR,aprovada nos testes executados,2,2026-05-16T14:14:10,,,,,,
voronoi_area_presser,Voronoi,A.1,continua,Area da celula de Voronoi do pressionante,diagrama de Voronoi clipado ao campo,m2,15958,13802,2156,13.51,0.2802,3.4876264942273716,7259.766634827856,262.581444897749,100.36065352112053,517.5709754518774,54.88424369825415,215.49689261746036,160.6126489192062,4.984907593527748,33.400847294816224,1716.0,Mann-Whitney U,19925946.0,0.001049362135319938,0.0220366048417187,0.0012962708730422765,2.9790746107287727,True,-0.0005571753980138591,Cohen d,262.6624326437655,262.3740443902775,102.46126030781821,95.25014276355157,-0.28838825348799446,-0.0005571753980138591,recupera mais com valor baixo,1.1066649988520425,False,0.24955973839187848,n_opponents_10m,False,7.854021181376443e-05,1.000078543296177,0.9999971410175486,1.0001599522011553,0.05860777885484973,3.4560248642083025,1,0.06302165399428386,1.4560248642083025,True,False,,,EXCLUIR,nao significativa no LRT,2,2026-05-16T14:14:10,,,,,,
voronoi_n_opp_neighbors,Voronoi,A.1,continua,Adversarios com celula adjacente a do portador,adjacencia no diagrama de Voronoi,contagem,15958,13802,2156,13.51,0.2802,0.0,5.0,1.2823503840023185,1.0,0.971019846138225,1.0,2.0,1.0,0.5512158931093508,0.04107029227065517,257.0,Mann-Whitney U,20155102.5,4.337042346857426e-06,9.107788928400595e-05,6.505563520286139e-06,5.362806337381623,True,-0.07851354809107061,Cohen d,1.3037477332258713,1.2275541795665634,1.0,1.0,-0.07619355365930791,-0.07851354809107061,recupera mais com valor baixo,1.3748312573647417,False,0.4154752980187478,numerical_superiority,False,-0.04359664169601869,0.9573400306559989,0.9113892717697331,1.0056075517728795,0.08236072203049992,2.9664096690867154,1,0.08501033222036165,0.9664096690867154,True,False,,,EXCLUIR,nao significativa no LRT,2,2026-05-16T14:14:10,,,,,,
zone,Posicional,2.4.2,categorica,Terco do campo,Defensivo/Medio/Atacante por coordenada x,categorica,15958,15958,0,0.0,0.2802,,,,,,,,,,,,Qui-quadrado,76.20500028951909,2.8333122571264296e-17,5.949955739965502e-16,9.916592899942505e-17,16.547705559586923,True,0.069103891396114,Cramers V,,,,,,,maior taxa: Defensivo,,False,,,False,0.3949779331453227,1.4843514355920926,1.1256584060643788,1.9573426294106977,0.0051311871595,15.889276902453275,2,0.00035455805794503044,11.889276902453275,True,True,,,INCLUIR,aprovada nos testes executados,2,2026-05-16T14:14:10,3.0,Medio|Defensivo|Atacante,Medio,7155.0,Atacante,3375.0
trigger_type,Tatica,2.4.4,categorica,Evento do adversario antes da pressao,merge_asof backward 5s,categorica,15958,15958,0,0.0,0.2802,,,,,,,,,,,,Qui-quadrado,82.74972020478668,4.552341622019905e-17,9.559917406241801e-16,1.3657024866059716e-16,16.341765154567483,True,0.07201020323464684,Cramers V,,,,,,,maior taxa: Other,,False,,,False,0.17131051455304133,1.1868592288725492,1.0306118473455048,1.3667947179028577,0.017377070610928715,11.714330978658836,4,0.0196069471924159,3.714330978658836,True,True,,,INCLUIR,aprovada nos testes executados,2,2026-05-16T14:14:10,5.0,Pass|Ball Receipt*|Carry|Other|Dribble,Pass,4037.0,Dribble,199.0
action_under_pressure,Tatica,2.4.4,categorica,Acao do adversario sob pressao,merge_asof nearest 2s,categorica,15958,15958,0,0.0,0.2802,,,,,,,,,,,,Qui-quadrado,223.53080331398917,3.258957251931801e-47,6.843810229056782e-46,2.2812700763522608e-46,46.486921336181645,True,0.11835305128974075,Cramers V,,,,,,,maior taxa: Dribble,,False,,,False,0.2224093948536117,1.249082641207898,1.0562819654593618,1.4770747732007208,0.009320205106408333,44.418197781900744,4,5.252537753104132e-09,36.418197781900744,True,True,,,INCLUIR,aprovada nos testes executados,2,2026-05-16T14:14:10,5.0,Carry|Other|Pass|Ball Receipt*|Dribble,Carry,5914.0,Dribble,518.0
is_counterpress,Tatica,2.4.4,binaria,Pressao ate 5s apos perda do proprio time,merge_asof backward 5s,binaria,15958,15958,0,0.0,0.2802,,,,,,,,,,,,Qui-quadrado,19.60106249356538,9.541612208672506e-06,0.0002003738563821226,1.3358257092141507e-05,5.020378238065921,True,0.035046978027407395,Cramers V,,,,,,,maior taxa: 1,,False,,,False,0.10715621189473394,1.1131081216276368,0.9925302491907576,1.2483344376089407,0.06698237110296894,3.3103839903360495,1,0.06884340398433608,1.3103839903360495,True,False,,,EXCLUIR,nao significativa no LRT,2,2026-05-16T14:14:10,2.0,0|1,0,12010.0,1,3948.0
had_tackle,Acoes defensivas concorrentes,2.4.5,binaria,Desarme do time pressionante em ate 3s,merge_asof forward 3s,binaria,15958,15958,0,0.0,0.2802,,,,,,,,,,,,Qui-quadrado,1503.3834415445867,0.0,0.0,0.0,,True,0.30693446059325646,Cramers V,,,,,,,maior taxa: 1,,False,,,False,1.7153714076939977,5.5587396877013315,4.918400302109239,6.2824465309126465,3.9498215681583605e-166,809.061913381729,1,5.778988016980736e-178,807.061913381729,True,True,,,INCLUIR,aprovada nos testes executados,2,2026-05-16T14:14:10,2.0,0|1,0,14117.0,1,1841.0
had_block,Acoes defensivas concorrentes,2.4.5,binaria,Bloqueio do time pressionante em ate 3s,merge_asof forward 3s,binaria,15958,15958,0,0.0,0.2802,,,,,,,,,,,,Qui-quadrado,5.294808002821722,0.021389088731578427,0.449170863363147,0.023640571755955103,1.6698077178724846,True,0.018215281109533923,Cramers V,,,,,,,maior taxa: 1,,False,,,False,0.20485910886392872,1.2273521297450247,1.0489615154450067,1.4360805694101968,0.010573783521735335,6.357670187140684,1,0.011687491304124723,4.357670187140684,True,True,,,INCLUIR,aprovada nos testes executados,2,2026-05-16T14:14:10,2.0,0|1,0,14976.0,1,982.0
had_foul,Acoes defensivas concorrentes,2.4.5,binaria,Falta cometida pelo time pressionante em ate 3s,merge_asof forward 3s,binaria,15958,15958,0,0.0,0.2802,,,,,,,,,,,,Qui-quadrado,424.5265742134501,2.5246214421959053e-94,5.301705028611401e-93,2.6508525143057007e-93,93.59780373354167,True,0.16310347356494012,Cramers V,,,,,,,maior taxa: 0,,False,,,False,-2.6137431507249245,0.07325980739286662,0.05095780276149864,0.1053224253871278,3.205425029695188e-45,441.1861838491459,1,5.974308960609952e-98,439.1861838491459,True,True,,,INCLUIR,aprovada nos testes executados,2,2026-05-16T14:14:10,2.0,0|1,0,14718.0,1,1240.0
